position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Centre-Forward,28,3,United States,MLS,Minnesota United FC,France,Ligue 1,Angers SCO,1
Centre-Forward,29,3,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,1. FC Köln,1
Right Winger,28,3,Turkey,1.Lig,Göztepe,Belgium,Jupiler Pro League,KVC Westerlo,1
Left-Back,20,3,Italy,Serie A,AS Roma,Switzerland,Super League,FC Basel 1893,1
Central Midfield,23,3,Denmark,Superligaen,FC Nordsjaelland,Italy,Serie B,Venezia FC,0.51
Defensive Midfield,27,3,Serbia,Super liga Srbije,FK Partizan Belgrade,Russia,Premier Liga,CSKA Moscow,0.5
Centre-Forward,27,3,Spain,LaLiga2,SD Huesca,Spain,LaLiga2,UD Las Palmas,0.5
Left Winger,25,3,Belgium,Jupiler Pro League,Royal Antwerp FC,Belgium,Jupiler Pro League,KV Kortrijk,0.5
Right Winger,23,3,Turkey,Süper Lig,Galatasaray A.S.,Italy,Serie B,Pisa Sporting Club,0.15
Right Winger,22,3,Russia,Premier Liga,FK Krasnodar,Israel,Ligat ha'Al,Hapoel Beer Sheva,0.15
Left Winger,19,3,Netherlands,Eredivisie,Ajax Amsterdam,Turkey,Süper Lig,Trabzonspor,0.15
Centre-Back,23,3,Russia,Premier Liga,Dynamo Moscow,Russia,Premier Liga,Krylya Sovetov Samara,0.025
Right Winger,31,3,Italy,Serie A,Juventus FC,United States,MLS,Los Angeles Galaxy,free transfer
Right-Back,19,3,England,League One,Derby County,Italy,Serie A,Udinese Calcio,free transfer
Centre-Back,24,3,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Eintracht Frankfurt,free transfer
Central Midfield,28,3,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,1.FC Union Berlin,free transfer
Central Midfield,27,3,England,Championship,Blackburn Rovers,England,Premier League,AFC Bournemouth,free transfer
Centre-Forward,25,3,Portugal,Liga Portugal,Vitória Guimarães SC,England,Championship,Hull City,free transfer
Left-Back,26,3,France,Ligue 1,Montpellier HSC,Portugal,Liga Portugal,SL Benfica,free transfer
Right Winger,29,3,France,Ligue 2,Nîmes Olympique,Turkey,Süper Lig,Alanyaspor,free transfer
Right-Back,22,3,Italy,Serie B,Parma Calcio 1913,France,Ligue 1,Stade Reims,?
Centre-Back,28,3,Germany,2. Bundesliga,Arminia Bielefeld,United States,Without League,St. Louis CITY SC,free transfer
Right Winger,26,3,Croatia,SuperSport HNL,HNK Rijeka,Turkey,Süper Lig,Konyaspor,?
Right-Back,21,3,Italy,Serie A,AS Roma,Belgium,Jupiler Pro League,KVC Westerlo,loan transfer
Centre-Forward,30,3,Mexico,Liga MX Apertura,Deportivo Toluca,Mexico,Liga MX Apertura,Club Tijuana,free transfer
Central Midfield,21,3,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Deportivo Toluca,?
Left Winger,29,3,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Puebla FC,loan transfer
Left-Back,21,3,England,League One,Derby County,Germany,Bundesliga,SV Werder Bremen,free transfer
Centre-Forward,21,3,Italy,Serie A,US Sassuolo,Italy,Serie B,Frosinone Calcio,loan transfer
Centre-Forward,20,3,Italy,Serie A,AC Milan,Italy,Serie A,US Lecce,loan transfer
Goalkeeper,25,3,Italy,Serie A,Inter Milan,Italy,Serie A,US Cremonese,loan transfer
Right Winger,27,3,Mexico,Liga MX Apertura,CF América,Spain,LaLiga2,Sporting Gijón,loan transfer
Left Winger,21,3,England,Premier League,Tottenham Hotspur,England,Championship,Sunderland AFC,?
Centre-Back,20,3,Italy,Serie A,Juventus FC,Italy,Serie B,Genoa CFC,loan transfer
Left-Back,25,3,Brazil,Série A,Fluminense Football Club,Turkey,Süper Lig,MKE Ankaragücü,free transfer
Centre-Back,25,3,Portugal,Liga Portugal,SL Benfica,Netherlands,Eredivisie,Vitesse Arnhem,loan transfer
Centre-Back,28,3,Italy,Serie A,AC Milan,Italy,Serie A,Spezia Calcio,loan transfer
Centre-Back,22,3,Brazil,Série A,Club Athletico Paranaense,Brazil,Série A,Goiás Esporte Clube,loan transfer
Left Winger,27,3,United States,MLS,Austin FC,Mexico,Liga MX Apertura,Santos Laguna,free transfer
Left-Back,32,3,Ukraine,Premier Liga,Shakhtar Donetsk,France,Ligue 1,LOSC Lille,free transfer
Central Midfield,30,3,Italy,Serie A,Inter Milan,Italy,Serie A,SS Lazio,free transfer
Central Midfield,27,3,Argentina,Liga Profesional,Club Atlético Independiente,Ukraine,Premier Liga,SK Dnipro-1,free transfer
Left Winger,33,3,Italy,Serie A,Inter Milan,France,Ligue 1,Olympique Marseille,free transfer
Defensive Midfield,26,3,France,Ligue 1,OGC Nice,Brazil,Série A,Botafogo de Futebol e Regatas,free transfer
Central Midfield,25,3,Greece,Super League 1,Olympiacos Piraeus,Turkey,Süper Lig,MKE Ankaragücü,loan transfer
Central Midfield,23,3,Canada,MLS,Vancouver Whitecaps FC,Brazil,Série A,Fortaleza Esporte Clube,loan transfer
Attacking Midfield,29,3,France,Ligue 2,FC Metz,Qatar,Stars League,Al-Gharafa SC,free transfer
Centre-Forward,26,3,England,Championship,Reading FC,Italy,Serie B,Genoa CFC,loan transfer
Centre-Forward,24,3,England,Premier League,Wolverhampton Wanderers,Italy,Serie B,Como 1907,?
Left Winger,28,3,Brazil,Série A,Clube de Regatas do Flamengo,Saudi Arabia,Professional League,Ettifaq FC,?
Centre-Forward,23,3,Italy,Serie B,Genoa CFC,Italy,Serie B,Parma Calcio 1913,?
Left Winger,27,3,Italy,Serie A,Juventus FC,Italy,Serie A,FC Empoli,loan transfer
Centre-Forward,20,3,Italy,Serie A,Inter Milan,Italy,Serie B,SSC Bari,loan transfer
Right Winger,22,3,England,Premier League,Manchester United,England,Championship,Birmingham City,?
Goalkeeper,22,3,Turkey,Süper Lig,Fenerbahce SK,Portugal,Liga Portugal,Portimonense SC,free transfer
Central Midfield,22,3,England,League One,Barnsley FC,England,Championship,Millwall FC,loan transfer
Centre-Forward,23,2,Italy,Serie A,Juventus FC,United States,MLS,New England Revolution,3
Right Winger,29,3,Turkey,Süper Lig,Fatih Karagümrük,Turkey,Süper Lig,Sivasspor,free transfer
Centre-Forward,25,3,Germany,Bundesliga,TSG 1899 Hoffenheim,United States,Without League,St. Louis CITY SC,3
Attacking Midfield,24,3,Spain,LaLiga2,Sporting Gijón,Greece,Super League 1,Aris Thessaloniki,3
Centre-Back,23,1,Sweden,Allsvenskan,Djurgårdens IF,Italy,Serie A,Hellas Verona,3
Centre-Forward,25,3,Belgium,Jupiler Pro League,KAA Gent,Belgium,Jupiler Pro League,RSC Charleroi,1
Right-Back,28,3,Germany,2. Bundesliga,Arminia Bielefeld,Germany,Bundesliga,FC Schalke 04,free transfer
Left Winger,22,3,Italy,Serie A,Atalanta BC,Turkey,Süper Lig,Fatih Karagümrük,loan transfer
Defensive Midfield,28,3,Monaco,Ligue 1,AS Monaco,France,Ligue 1,RC Strasbourg Alsace,3
Left Winger,20,2,Norway,Eliteserien,Rosenborg BK,Italy,Serie A,US Sassuolo,3
Central Midfield,24,3,Netherlands,Eredivisie,Sparta Rotterdam,Italy,Serie A,US Sassuolo,3
Left-Back,21,2,Belgium,Jupiler Pro League,Sint-Truidense VV,Italy,Serie A,FC Empoli,3
Central Midfield,23,2,Italy,Serie A,Udinese Calcio,Italy,Serie A,US Salernitana 1919,3
Centre-Forward,30,2,Italy,Serie A,FC Empoli,Italy,Serie A,AC Monza,3
Centre-Back,24,3,Belgium,Jupiler Pro League,RSC Anderlecht,Italy,Serie B,Parma Calcio 1913,3
Centre-Back,21,1,Brazil,Série A,Club Athletico Paranaense,Russia,Premier Liga,Lokomotiv Moscow,3
Right Midfield,20,3,Sweden,Allsvenskan,IFK Norrköping,Belgium,Jupiler Pro League,RSC Anderlecht,3
Left-Back,21,1,Netherlands,Eredivisie,Twente Enschede FC,Italy,Serie B,Parma Calcio 1913,3
Right Winger,23,3,Belgium,Jupiler Pro League,KAA Gent,Serbia,Super liga Srbije,Red Star Belgrade,3
Central Midfield,20,0.5,Portugal,Liga Portugal,Vitória Guimarães SC,Spain,LaLiga,UD Almería,3
Attacking Midfield,20,2,Switzerland,Super League,FC Basel 1893,United Arab Emirates,UAE Pro League,Al-Ain FC,3
Goalkeeper,23,2,England,Premier League,Manchester City,England,Championship,Burnley FC,3
Centre-Back,22,1,Paraguay,Primera División Clausura,Club Guaraní,Russia,Premier Liga,Dynamo Moscow,3
Centre-Back,21,3,France,Ligue 1,FC Toulouse,France,Ligue 1,LOSC Lille,3
Right-Back,21,1,Denmark,Superligaen,Silkeborg IF,Belgium,Jupiler Pro League,KRC Genk,3
Right-Back,20,2,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,ESTAC Troyes,3
Centre-Forward,21,1,Spain,LaLiga,RCD Mallorca,England,Championship,Middlesbrough FC,3
Central Midfield,21,1,Denmark,Superligaen,Aarhus GF,Norway,Eliteserien,FK Bodø/Glimt,3
Left Winger,22,2,Italy,Serie B,Cagliari Calcio,Italy,Serie B,Pisa Sporting Club,3
Centre-Back,29,2,Turkey,Süper Lig,Fenerbahce SK,Saudi Arabia,Professional League,Ettifaq FC,3
Centre-Forward,17,-,Portugal,Without League,Sporting CP U17,Italy,Primavera 1,Udinese Primavera,3
Left-Back,19,0.5,Greece,Super League 1,AEK Athens,Russia,Premier Liga,Lokomotiv Moscow,3
Left Winger,25,1,Denmark,Superligaen,Silkeborg IF,Denmark,Superligaen,Bröndby IF,3
Centre-Back,25,3,England,Premier League,Brighton & Hove Albion,England,Championship,Middlesbrough FC,2
Centre-Back,21,3,Croatia,SuperSport HNL,HNK Rijeka,Germany,Bundesliga,Eintracht Frankfurt,2
Centre-Forward,28,3,Greece,Super League 1,PAOK Thessaloniki,Scotland,Premiership,Rangers FC,2
Left-Back,27,3,Italy,Serie A,Atalanta BC,Italy,Serie A,Spezia Calcio,2
Right Winger,27,3,Moldova,Super Liga,FC Sheriff Tiraspol,Hungary,NB I.,Ferencvárosi TC,2
Right Winger,27,3,England,Championship,Watford FC,Greece,Super League 1,Olympiacos Piraeus,2
Left Winger,27,3,Portugal,Liga Portugal,Vitória Guimarães SC,Portugal,Liga Portugal,Sporting CP,2
Centre-Back,28,3,France,Ligue 1,Clermont Foot 63,France,Ligue 1,Angers SCO,2
Right-Back,20,3,Portugal,Liga Portugal,Boavista FC,Brazil,Série A,Santos FC,2
Central Midfield,24,3,Germany,Bundesliga,Borussia Mönchengladbach,Germany,2. Bundesliga,Hamburger SV,1
Centre-Forward,27,3,Russia,Premier Liga,Dynamo Moscow,Russia,Premier Liga,FK Rostov,1
Central Midfield,24,3,France,Ligue 1,Stade Reims,Cyprus,Protathlima Cyta,Omonia Nicosia,1
Centre-Back,24,3,Portugal,Liga Portugal,Vitória Guimarães SC,Spain,LaLiga,Rayo Vallecano,1
Right-Back,26,3,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Italy,Serie A,FC Empoli,1
Central Midfield,22,3,Spain,LaLiga2,Granada CF,Spain,LaLiga,Real Valladolid CF,1
Defensive Midfield,20,3,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,1. FC Köln,1
Attacking Midfield,25,3,Italy,Serie B,Ascoli Calcio,Italy,Serie A,UC Sampdoria,1
Centre-Forward,30,3,Turkey,Süper Lig,Fatih Karagümrük,Serbia,Super liga Srbije,Red Star Belgrade,1
Centre-Forward,21,3,Spain,Primera Federación - Gr. II,Real Sociedad B,Spain,LaLiga,Celta de Vigo,1
Goalkeeper,33,3,Spain,LaLiga,Valencia CF,Netherlands,Eredivisie,NEC Nijmegen,1
Right Midfield,28,3,United States,MLS,D.C. United,Canada,MLS,Vancouver Whitecaps FC,0.818
Defensive Midfield,28,3,Brazil,Série A,Sport Club Internacional,Mexico,Liga MX Apertura,Atlético de San Luis,0.5
Centre-Back,25,3,Italy,Serie A,SSC Napoli,Italy,Serie A,FC Empoli,0.5
Defensive Midfield,25,3,Spain,LaLiga2,Levante UD,Spain,LaLiga,Real Valladolid CF,0.5
Attacking Midfield,26,3,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,Hellas Verona,0.5
Centre-Forward,22,3,United States,MLS,Inter Miami CF,United States,MLS,Philadelphia Union,0.455
Centre-Back,30,3,Belgium,Jupiler Pro League,Royal Antwerp FC,Israel,Ligat ha'Al,Maccabi Haifa,0.39
Goalkeeper,30,3,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,FC Schalke 04,0.3
Central Midfield,29,3,Portugal,Liga Portugal,SC Braga,United Arab Emirates,UAE Pro League,Al-Bataeh CSC,0.2
Right Winger,32,3,Spain,LaLiga,Real Madrid,United States,MLS,Los Angeles FC,free transfer
Left-Back,28,3,Argentina,Liga Profesional,CA River Plate,Spain,LaLiga,Getafe CF,free transfer
Centre-Forward,29,3,England,Championship,Norwich City,Croatia,SuperSport HNL,GNK Dinamo Zagreb,free transfer
Defensive Midfield,28,3,Spain,LaLiga,Celta de Vigo,England,Championship,West Bromwich Albion,free transfer
Left Winger,19,3,England,Premier League 2,Manchester City U21,Germany,3. Liga,Borussia Dortmund II,free transfer
Right-Back,25,3,Belgium,Jupiler Pro League,Royal Antwerp FC,Germany,Bundesliga,Eintracht Frankfurt,free transfer
Centre-Forward,26,3,United Arab Emirates,UAE Pro League,Al-Wasl Sports Club,Turkey,Süper Lig,Gaziantep FK,?
Right-Back,24,3,France,Ligue 1,FC Lorient,Spain,LaLiga,UD Almería,free transfer
Left-Back,23,3,Mexico,Liga MX Apertura,Mazatlán FC,Mexico,Liga MX Apertura,Club Tijuana,?
Right-Back,26,3,Serbia,Super liga Srbije,Red Star Belgrade,Russia,Premier Liga,CSKA Moscow,free transfer
Centre-Forward,27,3,Italy,Serie B,Cagliari Calcio,Russia,Premier Liga,Spartak Moscow,free transfer
Centre-Forward,30,3,Czech Republic,Fortuna Liga,FC Viktoria Plzen,Saudi Arabia,Professional League,Al-Wehda FC,free transfer
Left-Back,27,3,England,Championship,Birmingham City,Germany,Bundesliga,1. FC Köln,free transfer
Centre-Back,25,3,Portugal,Liga Portugal,Vitória Guimarães SC,Croatia,SuperSport HNL,HNK Hajduk Split,loan transfer
Left-Back,23,3,Belgium,Jupiler Pro League,Club Brugge KV,France,Ligue 1,Montpellier HSC,loan transfer
Left Midfield,22,3,England,Premier League 2,Wolverhampton Wanderers U21,England,Championship,Middlesbrough FC,loan transfer
Centre-Back,28,3,England,Championship,Blackburn Rovers,England,Championship,Middlesbrough FC,free transfer
Centre-Forward,31,3,Italy,Serie B,Genoa CFC,Italy,Serie A,FC Empoli,free transfer
Attacking Midfield,23,3,Argentina,Liga Profesional,CA Boca Juniors,Argentina,Liga Profesional,CA San Lorenzo de Almagro,loan transfer
Centre-Forward,29,3,Spain,LaLiga2,UD Las Palmas,Turkey,Süper Lig,MKE Ankaragücü,free transfer
Right-Back,18,3,Portugal,Liga Portugal,Sporting CP,Portugal,Liga Portugal,GD Estoril Praia,loan transfer
Right Winger,20,3,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,loan transfer
Central Midfield,19,3,France,Ligue 1,ESTAC Troyes,Belgium,Challenger Pro League,Lommel SK,loan transfer
Centre-Back,19,3,England,Premier League,Leeds United,England,Championship,Millwall FC,loan transfer
Defensive Midfield,28,3,Italy,Serie B,Frosinone Calcio,Turkey,Süper Lig,Fatih Karagümrük,loan transfer
Centre-Back,23,3,Spain,LaLiga,Real Sociedad,Netherlands,Eredivisie,FC Utrecht,loan transfer
Goalkeeper,25,3,France,Ligue 1,Stade Brestois 29,France,Ligue 2,Valenciennes FC,loan transfer
Centre-Forward,21,3,France,Ligue 1,OGC Nice,France,Ligue 1,FC Nantes,loan transfer
Goalkeeper,27,3,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Lecce,loan transfer
Centre-Back,20,3,England,Premier League,Everton FC,Netherlands,Eredivisie,PSV Eindhoven,loan transfer
Right Winger,21,3,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,Real Zaragoza,loan transfer
Goalkeeper,22,3,Monaco,Ligue 1,AS Monaco,Belgium,Jupiler Pro League,Cercle Brugge ,loan transfer
Goalkeeper,26,3,Spain,LaLiga,Celta de Vigo,France,Ligue 1,Olympique Marseille,loan transfer
Centre-Forward,23,3,Turkey,Süper Lig,Besiktas JK,Italy,Serie B,Genoa CFC,free transfer
Attacking Midfield,20,3,England,Premier League 2,Chelsea FC U21,England,Championship,Huddersfield Town,loan transfer
Central Midfield,26,3,France,Ligue 1,Stade Rennais FC,Portugal,Liga Portugal,GD Estoril Praia,free transfer
Centre-Back,24,3,Brazil,Série B,Sport Club do Recife,Brazil,Série A,Botafogo de Futebol e Regatas,free transfer
Right-Back,21,3,Brazil,Série A,Sport Club Internacional,Belgium,Jupiler Pro League,Cercle Brugge ,loan transfer
Attacking Midfield,28,3,Argentina,Liga Profesional,Club Atlético Independiente,Brazil,Série A,América Futebol Clube (MG),loan transfer
Left Winger,20,3,England,Premier League,Aston Villa,Wales,Championship,Cardiff City,loan transfer
Centre-Forward,21,3,Spain,LaLiga,Celta de Vigo,Netherlands,Eredivisie,RKC Waalwijk,loan transfer
Centre-Back,33,3,Argentina,Liga Profesional,CA Boca Juniors,Spain,LaLiga2,Sporting Gijón,free transfer
Central Midfield,25,3,Russia,1.Division,Rubin Kazan,"Korea, South",K League 1,FC Seoul,loan transfer
Central Midfield,25,3,Russia,1.Division,Rubin Kazan,Greece,Super League 1,Olympiacos Piraeus,free transfer
Right-Back,31,3,Spain,LaLiga,Villarreal CF,England,Championship,Watford FC,free transfer
Centre-Back,25,3,Italy,Serie A,ACF Fiorentina,Netherlands,Eredivisie,Feyenoord Rotterdam,loan transfer
Central Midfield,19,3,England,Premier League 2,Liverpool FC U21,England,Championship,Blackburn Rovers,loan transfer
Central Midfield,31,3,Italy,Serie A,Juventus FC,France,Ligue 1,OGC Nice,free transfer
Goalkeeper,18,3,England,Premier League,Chelsea FC,United States,MLS,Chicago Fire FC,loan transfer
Attacking Midfield,25,3,France,Ligue 2,Dijon FCO,Turkey,Süper Lig,Kasimpasa,loan transfer
Centre-Forward,21,3,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Rayo Vallecano,loan transfer
Centre-Forward,24,3,England,Premier League,Manchester City,Brazil,Série A,São Paulo Futebol Clube,loan transfer
Centre-Forward,28,3,Germany,Bundesliga,Eintracht Frankfurt,Spain,LaLiga,Celta de Vigo,?
Attacking Midfield,24,3,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga2,Granada CF,free transfer
Centre-Forward,25,3,Italy,Serie A,Atalanta BC,Italy,Serie A,FC Empoli,loan transfer
Goalkeeper,33,3,Spain,LaLiga,FC Barcelona,England,Premier League,AFC Bournemouth,free transfer
Attacking Midfield,26,3,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Coritiba Foot Ball Club,free transfer
Centre-Forward,29,3,Turkey,Süper Lig,Fenerbahce SK,Belgium,Jupiler Pro League,KRC Genk,loan transfer
Centre-Forward,26,3,Mexico,Liga MX Apertura,Deportivo Toluca,Mexico,Liga MX Apertura,CD Cruz Azul,loan transfer
Centre-Back,22,3,Monaco,Ligue 1,AS Monaco,Belgium,Jupiler Pro League,Cercle Brugge ,loan transfer
Central Midfield,22,3,Portugal,Liga Portugal,FC Porto,Portugal,Liga Portugal,Casa Pia AC,loan transfer
Centre-Forward,26,3,Portugal,Liga Portugal,SC Braga,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,loan transfer
Attacking Midfield,18,3,Germany,Bundesliga,Bayern Munich,Netherlands,Eredivisie,Vitesse Arnhem,loan transfer
Defensive Midfield,25,3,France,Ligue 2,AS Saint-Étienne,Spain,LaLiga2,CD Leganés,loan transfer
Attacking Midfield,19,3,France,Ligue 1,Paris Saint-Germain,England,Championship,Sunderland AFC,loan transfer
Left-Back,28,3,England,Premier League,Fulham FC,France,Ligue 1,OGC Nice,loan transfer
Central Midfield,27,3,Belgium,Jupiler Pro League,RSC Anderlecht,Denmark,Superligaen,FC Midtjylland,loan transfer
Centre-Forward,19,3,Germany,Bundesliga,VfB Stuttgart,Denmark,Superligaen,FC Nordsjaelland,loan transfer
Centre-Forward,22,3,England,Premier League,Brentford FC,England,Championship,Burnley FC,loan transfer
Central Midfield,-,3,Italy,Serie B,Parma Calcio 1913,Italy,Serie B,Reggina 1914,loan transfer
Central Midfield,28,3,Italy,Serie B,Parma Calcio 1913,Italy,Serie B,Reggina 1914,loan transfer
Right Winger,26,3,England,Championship,Watford FC,Italy,Serie A,UC Sampdoria,loan transfer
Left Winger,25,3,Spain,LaLiga,Valencia CF,Spain,LaLiga,Girona FC,free transfer
Centre-Back,26,3,England,League One,Barnsley FC,England,Championship,Huddersfield Town,?
Left-Back,34,3,Spain,LaLiga,Real Madrid,Greece,Super League 1,Olympiacos Piraeus,free transfer
Attacking Midfield,22,-,England,League One,Milton Keynes Dons,England,Championship,Burnley FC,2
Attacking Midfield,23,1,Uruguay,Primera División,Montevideo City Torque,South Africa,DStv Premiership,Mamelodi Sundowns FC,2
Central Midfield,20,0.8,Germany,3. Liga,FC Ingolstadt 04,Germany,Bundesliga,SC Freiburg,2
Attacking Midfield,32,2,Turkey,Süper Lig,Besiktas JK,Brazil,Série B,Club de Regatas Vasco da Gama,free transfer
Right-Back,23,2,Ecuador,Serie A Segunda Etapa,Barcelona SC Guayaquil,Mexico,Liga MX Apertura,Club León FC,2
Left Winger,24,2,Ecuador,Serie A Segunda Etapa,CS Emelec,Mexico,Liga MX Apertura,CF Monterrey,2
Centre-Forward,25,2,Denmark,Superligaen,FC Midtjylland,Germany,Bundesliga,VfB Stuttgart,2
Centre-Forward,32,2,Turkey,Süper Lig,Adana Demirspor,Switzerland,Super League,FC Sion,2
Centre-Back,29,2,Brazil,Série A,Clube de Regatas do Flamengo,Turkey,Süper Lig,Fenerbahce SK,1
Left Winger,19,2,Italy,Serie A,SS Lazio,Italy,Serie B,Ternana Calcio,0.33
Defensive Midfield,24,2,England,Championship,Huddersfield Town,Netherlands,Eredivisie,FC Volendam,free transfer
Attacking Midfield,24,2,Russia,Premier Liga,CSKA Moscow,Russia,Premier Liga,FK Krasnodar,free transfer
Goalkeeper,28,2,Germany,Bundesliga,RB Leipzig,France,Ligue 1,FC Lorient,?
Central Midfield,25,2,Argentina,Liga Profesional,Club Atlético Talleres,Argentina,Liga Profesional,CA San Lorenzo de Almagro,free transfer
Left Winger,29,2,China,Super League,Dalian Professional,Turkey,Süper Lig,Antalyaspor,free transfer
Goalkeeper,22,2,Argentina,Liga Profesional,Club Atlético Lanús,Argentina,Liga Profesional,CA Newell's Old Boys,loan transfer
Right-Back,28,2,Netherlands,Eredivisie,Ajax Amsterdam,Netherlands,Eredivisie,FC Utrecht,free transfer
Centre-Back,24,2,Italy,Serie A,Hellas Verona,Greece,Super League 1,Olympiacos Piraeus,loan transfer
Right-Back,25,2,Italy,Serie A,UC Sampdoria,Italy,Serie A,Hellas Verona,loan transfer
Centre-Back,30,2,Italy,Serie A,Torino FC,Italy,Serie A,AC Monza,loan transfer
